iter	RMSE
0	99.01509179
1	96.96454831
2	94.99609053
3	93.11315159
4	91.31022856
5	89.56666484
6	87.91716473
7	86.3202407
8	84.79976365
9	83.30571707
10	81.87820766
11	80.51897785
12	79.24323786
13	78.01409524
14	76.83797656
15	75.71549603
16	74.64655121
17	73.61058071
18	72.58877607
19	71.61903091
20	70.73070068
21	69.80136308
22	68.92363882
23	68.02037479
24	67.0248396
25	66.13662564
26	65.28706528
27	64.47347847
28	63.69748044
29	62.95682841
30	62.18793833
31	61.51024157
32	60.82214521
33	60.21980708
34	59.60218963
35	59.04242891
36	58.52131264
37	58.0228219
38	57.53167895
39	57.07128683
40	56.63811222
41	56.23814605
42	55.85612023
43	55.48008419
44	55.07172727
45	54.73479667
46	54.34088547
47	54.02141706
48	53.73401867
49	53.46999528
50	53.2166927
51	52.96728223
52	52.72837209
53	52.51101973
54	52.2786164
55	52.07483361
56	51.86425086
57	51.65326705
58	51.47930594
59	51.31799288
60	51.09289575
61	50.87748755
62	50.68021571
63	50.54546945
64	50.4083391
65	50.27438826
66	50.11844565
67	50.00324937
68	49.853644
69	49.7549931
70	49.65213352
71	49.53312332
72	49.44494042
73	49.30420053
74	49.20287245
75	49.07077789
76	48.99272935
77	48.91395657
78	48.84100258
79	48.78002477
80	48.72133437
81	48.65584007
82	48.55388669
83	48.45303581
84	48.35275339
85	48.27333076
86	48.1743452
87	48.12914244
88	48.06686103
89	47.97598938
90	47.93863251
91	47.8371487
92	47.78847002
93	47.73208351
94	47.69437379
95	47.64686771
96	47.60047518
97	47.5314593
98	47.48848488
99	47.44124823
100	47.39589094
101	47.36082037
102	47.33124852
103	47.27544364
104	47.22160072
105	47.19795629
106	47.13272694
107	47.10936244
108	47.05526982
109	47.01825993
110	46.98560298
111	46.95573754
112	46.92647969
113	46.89449328
114	46.86611525
115	46.81940981
116	46.77820364
117	46.75375835
118	46.70673582
119	46.65559472
120	46.60783563
121	46.57731125
122	46.54987324
123	46.50679331
124	46.46368367
125	46.45044716
126	46.43155826
127	46.39527646
128	46.36875066
129	46.32323201
130	46.30347632
131	46.27670022
132	46.26324785
133	46.2419043
134	46.21242623
135	46.20177001
136	46.18545904
137	46.16725001
138	46.15138742
139	46.1278786
140	46.09805977
141	46.07375738
142	46.0541378
143	46.01759669
144	46.00574932
145	45.97907713
146	45.96580728
147	45.92878943
148	45.89808998
149	45.89031646
150	45.8670949
151	45.83639986
152	45.82784636
153	45.80798531
154	45.77879089
155	45.74464212
156	45.73146358
157	45.70850423
158	45.69148993
159	45.66286876
160	45.63077166
161	45.61145107
162	45.59937715
163	45.57830965
164	45.5577534
165	45.53926811
166	45.51543326
167	45.50072015
168	45.48670291
169	45.46188002
170	45.43548139
171	45.4233343
172	45.3986934
173	45.39028301
174	45.38127124
175	45.34384633
176	45.33110539
177	45.32364634
178	45.29737516
179	45.28840232
180	45.27727768
181	45.26735661
182	45.25765039
183	45.25024359
184	45.2359645
185	45.22706929
186	45.21522535
187	45.19906976
188	45.17900996
189	45.17028973
190	45.16434671
191	45.15332435
192	45.13526147
193	45.12116139
194	45.1097386
195	45.09756142
196	45.08572445
197	45.07427299
198	45.06893378
199	45.06160399
200	45.04399149
201	45.03659554
202	45.01887593
203	45.00496487
204	45.00103995
205	44.97897787
206	44.97412253
207	44.96973052
208	44.95753686
209	44.93749023
210	44.93291981
211	44.9230227
212	44.91100961
213	44.8932776
214	44.88794668
215	44.8691822
216	44.85421196
217	44.84512208
218	44.83183376
219	44.82385326
220	44.80554553
221	44.78716675
222	44.78004657
223	44.77071826
224	44.75869507
225	44.7506106
226	44.73958512
227	44.73430285
228	44.72362652
229	44.72155406
230	44.70732538
231	44.70164646
232	44.67987937
233	44.67046789
234	44.64978817
235	44.64655191
236	44.64085748
237	44.62570928
238	44.61822611
239	44.60900137
240	44.60203075
241	44.59408333
242	44.59011703
243	44.57921955
244	44.57645091
245	44.55817496
246	44.55470367
247	44.55185152
248	44.54661098
249	44.53188636
250	44.51897278
251	44.51372636
252	44.51002349
253	44.49620961
254	44.49097209
255	44.48923895
256	44.48707371
257	44.47802429
258	44.46204763
259	44.45520408
260	44.45205351
261	44.44312991
262	44.43842946
263	44.42767254
264	44.41671089
265	44.41155507
266	44.40512781
267	44.38931296
268	44.38599648
269	44.38246045
270	44.3536214
271	44.34731029
272	44.34540416
273	44.33602264
274	44.33022155
275	44.3251054
276	44.31774064
277	44.3089532
278	44.30534162
279	44.30382681
280	44.29844467
281	44.29196023
282	44.28969346
283	44.28783699
284	44.27671062
285	44.27266714
286	44.26086056
287	44.2512621
288	44.24948541
289	44.24087602
290	44.23734321
291	44.23163631
292	44.22747578
293	44.21473085
294	44.21177668
295	44.20592596
296	44.19331513
297	44.19078762
298	44.17835182
299	44.17480257
300	44.16876099
301	44.16526533
302	44.15748478
303	44.14595855
304	44.12714694
305	44.11425306
306	44.10831883
307	44.10061834
308	44.08068736
309	44.07953633
310	44.07838012
311	44.07571594
312	44.06466123
313	44.06125405
314	44.05752925
315	44.05314153
316	44.03889519
317	44.03292043
318	44.02559775
319	44.0230448
320	43.99769823
321	43.9967684
322	43.99138497
323	43.98138232
324	43.9686169
325	43.96267646
326	43.95803865
327	43.94965516
328	43.94376077
329	43.93560277
330	43.93052635
331	43.91764126
332	43.90916949
333	43.89862468
334	43.8951121
335	43.89163803
336	43.88414096
337	43.87527748
338	43.86407265
339	43.85514614
340	43.8507073
341	43.84846159
342	43.84408167
343	43.83659412
344	43.83441184
345	43.82926921
346	43.8155548
347	43.80600399
348	43.79309046
349	43.78332638
350	43.77768293
351	43.77629231
352	43.77229714
353	43.76768201
354	43.76240202
355	43.76024477
356	43.75220932
357	43.74973296
358	43.74910333
359	43.74345845
360	43.73738579
361	43.73441441
362	43.72306251
363	43.71310659
364	43.71142168
365	43.70775268
366	43.70348147
367	43.69823233
368	43.69690005
369	43.69516008
370	43.69136275
371	43.68477863
372	43.68084179
373	43.68009784
374	43.67617381
375	43.66956676
376	43.65431436
377	43.65000178
378	43.64406285
379	43.638658
380	43.63472848
381	43.63160325
382	43.61950138
383	43.61262568
384	43.60897102
385	43.59862702
386	43.5943267
387	43.58634587
388	43.5822394
389	43.57507542
390	43.5649601
391	43.55960167
392	43.55783441
393	43.55419549
394	43.54811637
395	43.54384851
396	43.52346101
397	43.52065532
398	43.51743319
399	43.51299877
400	43.5002668
401	43.49825774
402	43.49712745
403	43.48844732
404	43.47874236
405	43.47582605
406	43.4720781
407	43.46815267
408	43.46448015
409	43.45992132
410	43.45738156
411	43.44949529
412	43.4302993
413	43.4265809
414	43.42486866
415	43.41531281
416	43.41245049
417	43.39959779
418	43.39537246
419	43.39430507
420	43.39327153
421	43.39039144
422	43.38270432
423	43.37048695
424	43.36315465
425	43.36004033
426	43.35810328
427	43.35444282
428	43.35183474
429	43.34856626
430	43.34534587
431	43.33646197
432	43.31776009
433	43.310462
434	43.30646701
435	43.3030741
436	43.29338892
437	43.28285682
438	43.28189027
439	43.27268122
440	43.27108508
441	43.260328
442	43.25794318
443	43.25584065
444	43.25041337
445	43.24523351
446	43.23318266
447	43.22924765
448	43.2264931
449	43.22207873
450	43.21734478
451	43.21303102
452	43.21213424
453	43.2059653
454	43.20191929
455	43.19929908
456	43.19596327
457	43.19086745
458	43.18795203
459	43.18647169
460	43.18501741
461	43.17616577
462	43.16465478
463	43.15466924
464	43.14608638
465	43.13529182
466	43.12879578
467	43.12222999
468	43.11969431
469	43.11552888
470	43.1097416
471	43.09271393
472	43.08375761
473	43.07416341
474	43.06562818
475	43.06420223
476	43.06014498
477	43.05790448
478	43.05082756
479	43.0447152
480	43.04041612
481	43.03526151
482	43.03301092
483	43.02589706
484	43.01873933
485	43.0081377
486	43.00231965
487	42.99372173
488	42.98662856
489	42.98355493
490	42.98224274
491	42.97852552
492	42.97246466
493	42.96811144
494	42.96274805
495	42.96141261
496	42.95076685
497	42.94097347
498	42.93606622
499	42.93114585
500	42.92623634
501	42.92544662
502	42.92466015
503	42.9218583
504	42.9129926
505	42.90497082
506	42.90370322
507	42.90232087
508	42.89419797
509	42.88910209
510	42.88062019
511	42.87812041
512	42.8762732
513	42.87094089
514	42.86736275
515	42.86282053
516	42.85937363
517	42.85388465
518	42.84969748
519	42.84467593
520	42.83967487
521	42.83543532
522	42.83152735
523	42.82377376
524	42.81863748
525	42.81429696
526	42.81066218
527	42.80993264
528	42.80599805
529	42.79856693
530	42.79659306
531	42.79473992
532	42.7862943
533	42.78602286
534	42.77847689
535	42.77094354
536	42.76639828
537	42.7622987
538	42.76037514
539	42.75786726
540	42.75053736
541	42.74937118
542	42.74228192
543	42.7383645
544	42.73687935
545	42.73036979
546	42.72492884
547	42.72424077
548	42.72263022
549	42.72025445
550	42.71883393
551	42.71702652
552	42.71418413
553	42.71012773
554	42.70986833
555	42.70622068
556	42.70391112
557	42.70128422
558	42.69774527
559	42.69633947
560	42.69282864
561	42.6892931
562	42.68414399
563	42.67711307
564	42.67489436
565	42.67047492
566	42.6680957
567	42.66361318
568	42.65392855
569	42.6528551
570	42.64790026
571	42.64453548
572	42.64428924
573	42.64128848
574	42.63327161
575	42.62913022
576	42.62555563
577	42.62493586
578	42.62012827
579	42.61760476
580	42.61318522
581	42.60978114
582	42.6068183
583	42.60459473
584	42.59650255
585	42.5933028
586	42.59014717
587	42.58823294
588	42.58643131
589	42.57805984
590	42.57431232
591	42.5697183
592	42.56702915
593	42.56679615
594	42.56300222
595	42.56168962
596	42.55840318
597	42.5525924
598	42.5513174
599	42.5510953
600	42.54677491
601	42.54438025
602	42.52375601
603	42.50371071
604	42.48661435
605	42.4810529
606	42.48084018
607	42.47839659
608	42.47439711
609	42.47181796
610	42.46708049
611	42.45816155
612	42.45576143
613	42.44813976
614	42.44550913
615	42.43583323
616	42.43202614
617	42.42864616
618	42.42572166
619	42.42314315
620	42.41596012
621	42.40820675
622	42.40163665
623	42.40039687
624	42.39893655
625	42.39478603
626	42.3927384
627	42.38751874
628	42.38109634
629	42.38000768
630	42.37883111
631	42.37826972
632	42.37550285
633	42.36842606
634	42.36097212
635	42.35946823
636	42.35094158
637	42.3488917
638	42.34609025
639	42.34495638
640	42.34336937
641	42.34091236
642	42.33694357
643	42.33159973
644	42.32955434
645	42.32935608
646	42.31959951
647	42.31438322
648	42.31188519
649	42.31077518
650	42.30261446
651	42.29625844
652	42.29489576
653	42.28870138
654	42.28218348
655	42.28121048
656	42.27898942
657	42.27277707
658	42.271764
659	42.26747784
660	42.26332587
661	42.26095315
662	42.25880115
663	42.25723677
664	42.2555843
665	42.25264308
666	42.2496249
667	42.24887576
668	42.24597895
669	42.24002434
670	42.23872745
671	42.23073864
672	42.22626067
673	42.22435771
674	42.22069933
675	42.21756849
676	42.21377441
677	42.20994978
678	42.20542089
679	42.20418351
680	42.1965035
681	42.19377848
682	42.18933745
683	42.1872572
684	42.18622229
685	42.18109263
686	42.16447068
687	42.16228823
688	42.15833387
689	42.15627758
690	42.15142417
691	42.14666981
692	42.14380951
693	42.1381264
694	42.13485828
695	42.13214501
696	42.1252626
697	42.12134853
698	42.11562826
699	42.11298935
700	42.10626477
701	42.10525488
702	42.09948253
703	42.09709791
704	42.09609581
705	42.09226713
706	42.0873588
707	42.08512209
708	42.082834
709	42.07405548
710	42.07009212
711	42.06654897
712	42.06581935
713	42.06368858
714	42.05860922
715	42.05688425
716	42.05482556
717	42.05383844
718	42.04760405
719	42.04663194
720	42.04568662
721	42.03989373
722	42.0384178
723	42.03733553
724	42.03237397
