iter	RMSE
0	98.33175542
1	96.28488022
2	94.29392375
3	92.4044852
4	90.5840797
5	88.82600288
6	87.13479408
7	85.52662106
8	83.98965261
9	82.50567719
10	81.06469134
11	79.71087495
12	78.41546825
13	77.15703644
14	75.90982099
15	74.71133716
16	73.60791054
17	72.55285887
18	71.54838321
19	70.60461451
20	69.70227585
21	68.84312892
22	68.00110158
23	67.14947909
24	66.34011351
25	65.63010909
26	64.89207025
27	64.25008146
28	63.62532973
29	62.85167199
30	62.04512686
31	61.32452364
32	60.67234466
33	60.02250076
34	59.40914
35	58.77342989
36	58.1996638
37	57.67656761
38	57.1504954
39	56.66398682
40	56.20964689
41	55.77430598
42	55.29202871
43	54.90322323
44	54.51041478
45	54.16075499
46	53.81043385
47	53.48341871
48	53.15922093
49	52.81262659
50	52.52861196
51	52.26644706
52	51.95281088
53	51.70850075
54	51.472171
55	51.19124403
56	50.98668119
57	50.71744484
58	50.52802983
59	50.30549899
60	50.12325708
61	49.95948487
62	49.76149653
63	49.55115797
64	49.40213196
65	49.27595575
66	49.10354249
67	48.97627027
68	48.86276628
69	48.75954015
70	48.65430783
71	48.53325509
72	48.4101334
73	48.31994429
74	48.23990526
75	48.1590256
76	48.08283698
77	47.96702309
78	47.89222777
79	47.78334182
80	47.71021012
81	47.63804381
82	47.56792634
83	47.51339253
84	47.4494266
85	47.40639947
86	47.35801676
87	47.27076115
88	47.22230846
89	47.17187367
90	47.12797154
91	47.03478067
92	46.95443149
93	46.89165647
94	46.85693197
95	46.8190735
96	46.7847523
97	46.70495975
98	46.67311927
99	46.60585837
100	46.53654291
101	46.47993685
102	46.44969728
103	46.40830036
104	46.38338901
105	46.35610744
106	46.33205119
107	46.26611068
108	46.23973207
109	46.18338056
110	46.14884495
111	46.10062511
112	46.07119971
113	46.03523754
114	46.01280707
115	45.98681524
116	45.95660981
117	45.9191069
118	45.90742056
119	45.88688677
120	45.84715632
121	45.80181641
122	45.76993526
123	45.72607579
124	45.70750492
125	45.67617332
126	45.64964094
127	45.60280425
128	45.58931006
129	45.54614461
130	45.49549949
131	45.47366987
132	45.43154268
133	45.39980438
134	45.38464168
135	45.35806989
136	45.34391766
137	45.3336515
138	45.32114502
139	45.30468571
140	45.29395715
141	45.27940285
142	45.26876298
143	45.23733374
144	45.20261857
145	45.19515292
146	45.16903701
147	45.15765526
148	45.13239249
149	45.11345514
150	45.10463476
151	45.08408956
152	45.06525563
153	45.05962101
154	45.05192196
155	45.04129111
156	45.03164916
157	45.00368589
158	44.97095373
159	44.95447602
160	44.92491963
161	44.9029778
162	44.88776496
163	44.8628888
164	44.84769093
165	44.83983465
166	44.83341613
167	44.82780645
168	44.81857828
169	44.80284227
