iter	Passed	Remaining
0	396	3968182
1	573	2868061
2	612	2040441
3	646	1616775
4	679	1357772
5	714	1190034
6	752	1073542
7	803	1003937
8	837	929518
9	868	867754
10	895	813283
11	923	768593
12	950	730144
13	977	696983
14	1001	666748
15	1035	646237
16	1061	623534
17	1088	603445
18	1144	601027
19	1171	584684
20	1200	570257
21	1225	555667
22	1247	541075
23	1270	527977
24	1293	516107
25	1323	507673
26	1346	497330
27	1375	489855
28	1414	486180
29	1444	480217
30	1469	472503
31	1496	466166
32	1523	460069
33	1547	453577
34	1569	446872
35	1876	519295
36	2295	618207
37	2336	612571
38	2363	603775
39	2392	595831
40	2417	587243
41	2447	580340
42	2476	573500
43	2504	566669
44	2532	560349
45	2562	554606
46	2587	547954
47	2611	541485
48	2636	535445
49	2665	530366
50	2687	524299
51	2709	518294
52	2729	512320
53	2759	508286
54	2782	503207
55	2818	500532
56	2841	495613
57	2861	490547
58	2884	485934
59	2908	481902
60	2943	479582
61	2963	474952
62	2986	471003
63	3010	467453
64	3036	464077
65	3059	460490
66	3082	457047
67	3105	453525
68	3130	450564
69	3154	447489
70	3178	444525
71	3208	442479
72	3232	439610
73	3255	436635
74	3285	434778
75	3310	432274
76	3638	468947
77	3902	496458
78	3937	494474
79	3968	492107
80	3995	489288
81	4023	486662
82	4052	484244
83	4083	481993
84	4111	479609
85	4141	477381
86	4169	475040
87	4195	472610
88	4220	469960
89	4245	467522
90	4270	465004
91	4293	462420
92	4320	460215
93	4349	458398
94	4372	455897
95	4410	455027
96	4444	453728
97	4470	451699
98	4494	449489
99	4517	447241
100	4543	445348
101	4569	443416
102	4596	441630
103	4619	439580
104	4642	437486
105	4668	435786
106	4691	433768
107	4716	431952
108	4739	430085
109	4765	428422
110	4788	426565
111	4810	424702
112	4834	422956
113	4855	421044
114	4878	419314
115	4902	417686
116	5257	444104
117	5567	466226
118	5603	465320
119	5635	464012
120	5661	462225
121	5691	460803
122	5718	459191
123	5748	457851
124	5778	456513
125	5818	455959
126	5845	454451
127	5872	452948
128	5904	451811
129	5932	450441
130	5974	450102
131	6001	448672
132	6024	446944
133	6050	445461
134	6074	443904
135	6096	442184
136	6120	440605
137	6143	439071
138	6180	438452
139	6205	437077
140	6227	435464
141	6252	434079
142	6280	432907
143	6303	431423
144	6337	430709
145	6369	429916
146	6392	428498
147	6420	427371
148	6445	426106
149	6471	424976
150	6497	423787
151	6525	422760
152	6548	421463
153	6574	420366
154	6858	435607
155	7246	457250
156	7290	457090
157	7327	456425
158	7353	455160
159	7382	454010
160	7413	453029
161	7442	451949
162	7477	451246
163	7507	450289
164	7532	449002
165	7558	447754
166	7589	446878
167	7613	445548
168	7651	445119
169	7683	444281
170	7710	443213
171	7738	442190
172	7779	441889
173	7808	440941
174	7836	439956
175	7870	439318
176	7895	438192
177	7920	437043
178	7944	435857
179	7967	434690
180	7993	433625
181	8016	432440
182	8050	431844
183	8071	430570
184	8094	429440
185	8121	428501
186	8148	427583
187	8168	426325
188	8192	425270
189	8240	425474
190	8267	424568
191	8576	438114
192	8946	454611
193	8985	454176
194	9009	453011
195	9041	452269
196	9079	451817
197	9111	451071
198	9149	450628
199	9197	450657
200	9227	449851
201	9254	448898
202	9285	448124
203	9317	447422
204	9360	447227
205	9386	446280
206	9428	446049
207	9468	445759
208	9501	445092
209	9527	444181
210	9585	444724
211	9622	444247
212	9653	443579
213	9680	442684
214	9708	441844
215	9733	440894
216	9776	440765
217	9810	440197
218	9841	439541
219	9871	438811
220	9904	438267
