iter	RMSE
0	98.28390129
1	96.22873555
2	94.24389498
3	92.35013993
4	90.51796199
5	88.77067166
6	87.06080606
7	85.33254699
8	83.62744027
9	82.02450201
10	80.46454748
11	78.98099103
12	77.5251206
13	76.15522583
14	74.83612938
15	73.54782738
16	72.33394443
17	71.22988182
18	70.09804808
19	69.00252102
20	67.97522217
21	66.91013518
22	65.9510855
23	64.98520326
24	64.14027653
25	63.3010011
26	62.50355797
27	61.73322186
28	60.94002118
29	60.24009681
30	59.57710955
31	58.93583196
32	58.25195723
33	57.6789387
34	57.06459798
35	56.46659184
36	55.90519988
37	55.40202656
38	54.93779376
39	54.40832608
40	53.96146403
41	53.48809548
42	53.0423556
43	52.6178251
44	52.26242289
45	51.91964263
46	51.55314675
47	51.16845343
48	50.8230744
49	50.50220794
50	50.23747222
51	49.94223592
52	49.67790195
53	49.39513954
54	49.13043894
55	48.8779372
56	48.61925879
57	48.38978002
58	48.16006
59	47.97663209
60	47.75559597
61	47.53965868
62	47.32877111
63	47.10297571
64	46.94691593
65	46.77169372
66	46.62580585
67	46.45669245
68	46.29106066
69	46.14173009
70	46.03514022
71	45.90523691
72	45.76028018
73	45.6148028
74	45.50767164
75	45.37564006
76	45.2333922
77	45.11110481
78	44.99619072
79	44.90707558
80	44.78788654
81	44.70573043
82	44.62066557
83	44.50764082
84	44.41416691
85	44.31292959
86	44.22587733
87	44.11596777
88	44.01478154
89	43.94182632
90	43.85585794
91	43.80086725
92	43.72096632
93	43.63110461
94	43.55971889
95	43.48219008
96	43.39844345
97	43.33019153
98	43.25527891
99	43.18742474
100	43.10635444
101	43.0319655
102	42.97903522
103	42.911984
104	42.85978665
105	42.80884414
106	42.79396508
107	42.72823982
108	42.67296352
109	42.60441227
110	42.57328408
111	42.53457471
112	42.45060334
113	42.40566825
114	42.37784935
115	42.31383492
116	42.26895033
117	42.22121321
118	42.17694855
119	42.13733932
120	42.11373938
121	42.08171824
122	42.02809525
123	41.95450116
124	41.87830641
125	41.83229708
126	41.77936384
127	41.76099218
128	41.7368925
129	41.68042389
130	41.61507509
131	41.56212766
132	41.53481807
133	41.49416607
134	41.47143061
135	41.43374994
136	41.41563181
137	41.38328949
138	41.36499958
139	41.34039454
140	41.29698264
141	41.26747924
142	41.22049083
143	41.19108543
144	41.16442668
145	41.1288957
146	41.11679576
147	41.06432485
148	41.02688292
149	40.99992294
150	40.95430671
151	40.93082427
152	40.88901787
153	40.87050389
154	40.85332114
155	40.81854963
156	40.80473945
157	40.77914575
158	40.73937578
159	40.69712836
160	40.66610008
161	40.63489623
162	40.60159947
163	40.57008798
164	40.53418457
165	40.51068709
166	40.49732994
167	40.44513125
168	40.41960835
169	40.40256619
170	40.3693424
171	40.35167338
172	40.33690725
173	40.33519582
174	40.32543671
175	40.28281919
176	40.2594582
177	40.23294703
178	40.19225874
179	40.17687422
180	40.1376624
181	40.13546922
182	40.12307538
183	40.10969607
184	40.10461797
185	40.06674981
186	40.05350319
187	40.01297919
188	40.00522392
189	39.97246782
190	39.95694893
191	39.94698046
192	39.91760057
193	39.88756395
194	39.8462161
195	39.83159558
196	39.79209517
197	39.7504228
198	39.74066437
199	39.7236729
200	39.70883414
201	39.68872284
202	39.64779571
203	39.62885671
204	39.6192827
205	39.60385834
206	39.56798816
207	39.54052913
208	39.51437067
209	39.50156297
210	39.48972179
211	39.48718884
212	39.46164471
213	39.40026916
214	39.38172118
215	39.37542363
216	39.35663553
217	39.33345846
218	39.3291221
219	39.31640836
220	39.29623351
221	39.27864214
222	39.24782121
223	39.21768977
224	39.20186464
225	39.19706761
226	39.18840615
227	39.18768802
228	39.18006293
229	39.17113577
230	39.1231754
231	39.11868008
232	39.107508
233	39.09677545
234	39.08347363
235	39.05129294
236	39.03484117
237	39.02466186
238	38.99166216
239	38.97151644
240	38.95025562
241	38.92842754
242	38.91239331
243	38.91150429
244	38.8804603
245	38.83891018
246	38.83423124
247	38.82169195
248	38.81417171
249	38.80560683
250	38.7992217
251	38.7917074
252	38.78361234
253	38.78337878
254	38.76272979
255	38.73716282
256	38.72128875
257	38.68171544
258	38.67531965
259	38.66549594
260	38.65252159
261	38.64142713
262	38.62995893
