iter	Passed	Remaining
0	45	91592
1	75	75862
2	108	72013
3	142	71047
4	173	69036
5	205	68260
6	242	69046
7	271	67712
8	301	66726
9	339	67508
10	368	66584
11	493	81795
12	529	80860
13	560	79443
14	589	77947
15	620	76890
16	650	75924
17	681	75041
18	715	74559
19	746	73872
20	776	73196
21	827	74401
22	857	73741
23	890	73350
24	958	75724
25	990	75212
26	1018	74399
27	1057	74509
28	1082	73560
29	1111	72979
30	1137	72278
31	1161	71447
32	1185	70679
33	1214	70211
34	1242	69752
35	1269	69244
36	1294	68660
37	1319	68149
38	1354	68102
39	1380	67631
40	1403	67074
41	1429	66659
42	1453	66162
43	1481	65872
44	1611	69996
45	1640	69693
46	1695	70437
47	1727	70247
48	1753	69834
49	1777	69314
50	1807	69081
51	1831	68625
52	1855	68146
53	1886	67982
54	1913	67670
55	1936	67235
56	1976	67380
57	2002	67041
58	2028	66733
59	2058	66543
60	2084	66265
61	2110	65964
62	2141	65842
63	2168	65582
64	2195	65370
65	2227	65285
66	2253	65019
67	2280	64801
68	2308	64616
69	2334	64354
70	2363	64218
71	2404	64374
72	2430	64153
73	2466	64204
74	2499	64149
75	2523	63892
76	2545	63578
77	2568	63291
78	2611	63514
79	2738	65722
80	2769	65611
81	2800	65503
82	2827	65299
83	2855	65134
84	2883	64957
85	2914	64859
86	2944	64735
87	2990	64964
88	3022	64894
89	3047	64674
90	3076	64548
91	3103	64354
92	3140	64398
93	3169	64264
94	3196	64107
95	3225	63974
96	3267	64111
97	3293	63914
98	3319	63739
99	3350	63666
100	3378	63530
101	3406	63386
102	3436	63288
103	3463	63142
104	3489	62978
105	3519	62892
106	3546	62748
107	3574	62612
108	3613	62689
109	3642	62584
110	3668	62426
111	3712	62588
112	3832	63993
113	3953	65411
114	3990	65411
115	4019	65280
116	4044	65095
117	4088	65212
118	4118	65099
119	4150	65029
120	4181	64938
121	4209	64793
122	4235	64629
123	4275	64687
124	4301	64521
125	4328	64376
126	4374	64516
127	4414	64554
128	4443	64451
129	4479	64433
130	4509	64344
131	4538	64221
132	4572	64192
133	4600	64061
134	4630	63971
135	4678	64117
136	4706	63998
137	4733	63874
138	4773	63910
139	4807	63873
140	4837	63773
141	4897	64080
142	4928	63996
143	5054	65153
144	5090	65125
145	5120	65019
146	5145	64867
147	5174	64752
148	5211	64741
149	5243	64664
150	5286	64737
151	5313	64598
152	5344	64515
153	5381	64502
154	5409	64387
155	5439	64292
156	5473	64250
157	5503	64162
158	5533	64071
159	5571	64067
160	5600	63972
161	5629	63866
162	5663	63832
163	5700	63819
164	5732	63747
165	5770	63757
166	5801	63681
167	5828	63562
168	5864	63538
169	5895	63458
170	5921	63331
171	5953	63278
172	5990	63268
173	6022	63199
174	6068	63287
175	6199	64247
176	6261	64493
177	6307	64558
178	6345	64549
179	6382	64535
180	6425	64573
181	6459	64528
182	6501	64555
183	6542	64575
184	6579	64552
185	6616	64524
186	6682	64791
187	6716	64739
188	6758	64761
189	6810	64882
190	6841	64798
191	6874	64730
192	6907	64674
193	6933	64547
194	6964	64465
195	7003	64459
196	7040	64439
197	7080	64438
198	7125	64484
199	7153	64384
200	7184	64303
201	7402	65893
202	7445	65909
203	7483	65881
204	7516	65810
205	7554	65786
206	7614	65958
207	7669	66073
208	7705	66033
209	7737	65954
210	7771	65889
211	7804	65826
212	7836	65749
213	7872	65702
214	7934	65876
215	7979	65906
216	8017	65874
217	8076	66023
218	8112	65976
219	8150	65947
220	8187	65909
221	8217	65817
222	8252	65757
223	8281	65658
224	8311	65570
225	8342	65481
226	8376	65423
227	8407	65341
228	8542	66065
229	8581	66043
230	8618	65997
231	8659	65989
232	8693	65927
233	8730	65887
234	8772	65883
235	8809	65845
236	8844	65792
237	8878	65733
238	8914	65687
239	8949	65626
240	8989	65608
241	9044	65705
242	9078	65641
243	9110	65567
244	9140	65477
245	9175	65420
246	9219	65435
247	9253	65368
248	9285	65299
249	9329	65303
250	9367	65274
251	9398	65193
252	9440	65187
253	9472	65111
254	9508	65066
255	9549	65056
256	9806	66511
257	9856	66552
258	9895	66514
259	9931	66461
260	9960	66367
261	9997	66317
262	10031	66253
263	10061	66164
264	10126	66299
265	10158	66220
266	10188	66129
267	10251	66253
268	10290	66218
269	10322	66141
270	10354	66060
271	10384	65974
272	10418	65910
273	10452	65842
274	10488	65791
275	10528	65764
276	10565	65722
277	10599	65653
278	10627	65553
279	10683	65628
280	10720	65581
281	10758	65540
282	10804	65555
283	10942	66115
284	10979	66069
285	11017	66026
286	11051	65959
287	11085	65899
288	11117	65818
289	11148	65737
290	11184	65686
291	11212	65587
292	11245	65515
293	11280	65455
294	11311	65374
295	11342	65296
296	11372	65211
297	11407	65153
298	11438	65074
299	11468	64990
300	11507	64953
301	11543	64903
302	11582	64867
303	11638	64928
304	11669	64853
305	11704	64792
306	11738	64734
307	11766	64637
308	11794	64545
309	11855	64630
310	11885	64549
311	11912	64450
312	11944	64379
313	12081	64871
314	12120	64834
315	12156	64785
316	12186	64701
317	12235	64714
318	12278	64704
319	12309	64622
320	12342	64557
321	12399	64614
322	12428	64527
323	12459	64449
324	12491	64379
325	12522	64303
326	12554	64230
327	12590	64182
328	12617	64086
329	12649	64015
330	12682	63946
331	12707	63846
332	12735	63754
333	12765	63673
334	12795	63594
335	12828	63529
336	12886	63591
337	12919	63526
338	12953	63468
339	12993	63438
340	13024	63364
341	13053	63280
342	13089	63232
343	13321	64127
344	13362	64099
345	13427	64186
346	13456	64100
347	13490	64039
348	13547	64088
349	13580	64023
350	13611	63947
351	13645	63886
352	13682	63840
353	13715	63771
354	13750	63714
355	13780	63637
356	13813	63572
357	13865	63595
358	13895	63517
359	13924	63435
360	13959	63377
361	13986	63285
362	14016	63210
363	14046	63131
364	14081	63075
365	14114	63014
366	14146	62948
367	14175	62866
368	14205	62787
369	14243	62748
370	14271	62662
371	14294	62558
372	14338	62544
373	14467	62897
374	14501	62840
375	14531	62764
376	14571	62731
377	14601	62656
378	14644	62633
379	14675	62565
380	14697	62456
381	14739	62431
382	14768	62350
383	14798	62276
384	14847	62283
385	14878	62213
386	14915	62166
387	14946	62096
388	14973	62012
389	14997	61913
390	15025	61829
391	15087	61888
392	15121	61830
393	15152	61764
394	15208	61794
395	15242	61737
396	15275	61678
397	15310	61627
398	15342	61561
399	15374	61497
400	15415	61468
401	15445	61396
402	15581	61744
403	15617	61696
404	15647	61625
405	15678	61555
406	15726	61555
407	15760	61498
408	15791	61430
409	15825	61371
410	15856	61302
411	15884	61224
412	15947	61281
413	15978	61211
414	16010	61148
415	16042	61085
416	16075	61026
417	16105	60955
418	16144	60919
419	16182	60876
420	16211	60801
421	16255	60783
422	16282	60701
423	16312	60631
424	16347	60581
425	16377	60511
426	16414	60469
427	16456	60442
428	16487	60376
429	16518	60311
430	16580	60359
431	16808	61009
432	16843	60955
433	16877	60899
434	16909	60836
435	16934	60747
436	16965	60679
437	17018	60692
438	17052	60635
439	17081	60560
440	17142	60600
441	17168	60517
442	17196	60439
443	17233	60394
444	17264	60327
445	17297	60269
446	17323	60187
447	17351	60110
448	17383	60047
449	17438	60065
450	17469	60000
451	17497	59925
452	17538	59895
453	17568	59825
454	17599	59762
455	17653	59774
456	17682	59702
457	17713	59639
458	17751	59597
459	17779	59522
460	17807	59449
461	17954	59771
462	17989	59719
463	18019	59652
464	18051	59589
465	18076	59505
466	18106	59437
467	18146	59402
468	18179	59346
469	18209	59277
