iter	RMSE
0	98.90811992
1	96.85796985
2	94.89158877
3	93.01534903
4	91.21401327
5	89.4232589
6	87.77588037
7	86.18308041
8	84.64890026
9	83.17848269
10	81.75421971
11	80.41171874
12	79.1344043
13	77.90568431
14	76.74247052
15	75.62007469
16	74.55016677
17	73.5125656
18	72.49000403
19	71.5173416
20	70.48083286
21	69.46125477
22	68.46767147
23	67.51496715
24	66.60501001
25	65.7316323
26	64.91225129
27	64.07033482
28	63.2855197
29	62.55998991
30	61.81192047
31	61.15496372
32	60.53371908
33	59.94134313
34	59.3621507
35	58.84360113
36	58.32395833
37	57.83293343
38	57.36631783
39	56.85614824
40	56.43240602
41	56.02647931
42	55.64562748
43	55.28291142
44	54.9291208
45	54.60736999
46	54.25749552
47	53.88136506
48	53.61425283
49	53.35401038
50	53.10202352
51	52.86641801
52	52.55439315
53	52.29457876
54	52.09706366
55	51.8996173
56	51.712825
57	51.5235068
58	51.34920876
59	51.12026069
60	50.96952509
61	50.82309949
62	50.67348927
63	50.53869498
64	50.41091091
65	50.25343435
66	50.12456168
67	50.02358021
68	49.8605947
69	49.75427303
70	49.59032977
71	49.44362619
72	49.34608685
73	49.26797259
74	49.14374768
75	49.02169194
76	48.9367517
77	48.86887897
78	48.75488752
79	48.65225196
80	48.57594463
81	48.52283837
82	48.4668028
83	48.4049353
84	48.35065034
85	48.29869687
86	48.24910742
87	48.15758295
88	48.06315674
89	47.98000307
90	47.93853581
91	47.86892373
92	47.83528205
93	47.78579773
94	47.71106439
95	47.66164413
96	47.59268865
97	47.56176554
98	47.49779421
99	47.44285465
100	47.3922217
101	47.36046886
102	47.32800431
103	47.30895865
104	47.27563106
105	47.24489453
106	47.20400755
107	47.14260657
108	47.11289926
109	47.04963622
110	47.00400493
111	46.98381357
112	46.95790404
113	46.93465566
114	46.9109768
115	46.8560864
116	46.83003738
117	46.80149607
118	46.77550421
119	46.76084711
120	46.70638688
121	46.64566247
122	46.61737364
123	46.59914318
124	46.55405247
125	46.52747495
126	46.47170023
127	46.45064492
128	46.43575482
129	46.41091972
130	46.38956392
131	46.36932247
132	46.33616112
133	46.3245038
134	46.29905051
135	46.28002369
136	46.25919367
137	46.21675443
138	46.16614117
139	46.13237098
140	46.1194493
141	46.0801698
142	46.03633598
143	46.00439896
144	45.98318039
145	45.97379882
146	45.94935847
147	45.92841535
148	45.90861015
149	45.8887907
150	45.85517747
151	45.8382652
152	45.81337711
153	45.79611695
154	45.76758698
155	45.75006592
156	45.7374948
157	45.72062697
158	45.68724337
159	45.67909706
160	45.66288357
161	45.6502431
162	45.6324216
163	45.62025273
164	45.59072453
165	45.58578561
166	45.55557138
167	45.53627044
168	45.5207044
169	45.50592548
170	45.49793247
171	45.49332111
172	45.4708815
173	45.46341723
174	45.45535355
175	45.44807484
176	45.43289916
177	45.42537633
178	45.41610938
179	45.40136683
180	45.39457097
181	45.38515073
182	45.37333072
183	45.36491372
184	45.35749928
185	45.34648898
186	45.31660163
187	45.31043771
188	45.28685876
189	45.27882438
190	45.27211409
191	45.2647635
192	45.2558723
193	45.22930766
194	45.22533125
195	45.21789434
196	45.19961589
197	45.17516986
198	45.15569777
199	45.13340288
200	45.12043537
201	45.09867972
202	45.08828561
203	45.07779087
204	45.07387098
205	45.06920093
206	45.0598613
207	45.04045015
208	45.03669353
209	45.0198347
210	45.01566012
211	44.99775758
212	44.99131842
213	44.96840337
214	44.96207309
215	44.96049596
216	44.95600253
217	44.940106
218	44.93586507
219	44.92980698
220	44.92331266
221	44.91706165
222	44.90106309
223	44.89032325
224	44.8792539
225	44.8684097
226	44.86318891
227	44.84583345
228	44.83717558
229	44.83555196
230	44.83248168
231	44.8235803
232	44.81527963
233	44.81187146
234	44.80035009
235	44.78655788
236	44.77914274
237	44.77386373
238	44.77101416
239	44.76778232
240	44.76399301
241	44.76098506
242	44.75720853
243	44.74801905
244	44.74392421
245	44.73866603
246	44.73372716
247	44.72535242
248	44.71402372
249	44.70881435
250	44.70126551
251	44.69443618
252	44.68880977
253	44.6788891
254	44.6671297
255	44.66557793
256	44.65537366
257	44.64912096
258	44.64617838
259	44.64142961
260	44.63147461
261	44.63028
262	44.61408788
263	44.60721419
264	44.59921383
265	44.59806765
266	44.5829692
267	44.56160049
268	44.54057672
269	44.52427567
270	44.51965669
271	44.5163622
272	44.51129637
273	44.49795147
274	44.47905652
275	44.46365645
276	44.46137327
277	44.45647445
278	44.44585635
279	44.44494098
280	44.43932133
281	44.43669678
282	44.43625033
283	44.42804764
284	44.4277068
285	44.42289914
286	44.4083709
287	44.39875599
288	44.39467982
289	44.38939036
290	44.37978104
291	44.37878102
292	44.37198674
293	44.37009916
294	44.35504797
295	44.35214465
296	44.3477223
297	44.34315913
298	44.33550492
299	44.31872017
300	44.31772071
301	44.31009148
302	44.2947074
303	44.29297313
304	44.28982215
305	44.28294548
306	44.27411769
307	44.27171593
308	44.26523552
309	44.25974937
310	44.23726794
311	44.23419707
312	44.22431373
313	44.21764094
314	44.20570089
315	44.19780294
316	44.19162883
317	44.18736615
318	44.18003406
319	44.17466027
320	44.17044842
321	44.15723534
322	44.15559926
323	44.15275747
324	44.14989939
325	44.14676353
326	44.13520163
327	44.11992862
328	44.1128379
329	44.10654782
330	44.09998255
331	44.09696342
332	44.08447049
333	44.07120497
334	44.04892071
335	44.04729124
336	44.03860213
337	44.03163939
338	44.02832595
339	44.02205822
340	44.01586868
341	44.00307584
342	44.00103707
343	43.99991745
344	43.99532629
345	43.98882822
346	43.9847578
347	43.9816152
348	43.97623114
349	43.97164358
350	43.96896864
351	43.96268449
352	43.95361165
353	43.94038328
354	43.93058541
355	43.92458663
356	43.92367083
357	43.91760139
358	43.90720634
359	43.89962344
360	43.8949968
361	43.88735811
362	43.88013538
363	43.87913258
364	43.87411861
365	43.86929234
366	43.8620542
367	43.8467992
368	43.84044142
369	43.83378613
370	43.83146509
371	43.82536443
372	43.81699386
373	43.81418113
374	43.80405936
375	43.79472216
376	43.78430537
377	43.78191911
378	43.77997936
379	43.77507175
380	43.76042504
381	43.75280227
382	43.74775412
383	43.74363663
384	43.73751608
385	43.73146711
386	43.72624655
387	43.72399445
388	43.71630177
389	43.71093977
390	43.70859148
391	43.70557857
392	43.69305418
393	43.68344052
394	43.68118641
395	43.67181169
396	43.67089623
397	43.6560559
398	43.65361481
399	43.6461615
400	43.64401439
401	43.6416627
402	43.63380027
403	43.62783371
404	43.62139643
405	43.6047067
406	43.59989689
407	43.59541879
408	43.5861252
409	43.58159742
410	43.57958925
411	43.5685194
412	43.56398796
413	43.55744401
414	43.55432289
415	43.5519702
416	43.53464215
417	43.52639952
418	43.51789955
419	43.51138448
420	43.50736698
421	43.50363986
422	43.49583718
423	43.48938076
424	43.48125765
425	43.47609874
426	43.47364822
427	43.46837869
428	43.46371788
429	43.45528746
430	43.4516562
431	43.4486292
432	43.44681038
433	43.4342165
