iter	RMSE
0	98.63892671
1	96.59959234
2	94.62192946
3	92.73893888
4	90.92752486
5	89.17635962
6	87.49403277
7	85.88909691
8	84.35865453
9	82.86575911
10	81.43187064
11	80.0816933
12	78.79719143
13	77.56170974
14	76.39212809
15	75.2621472
16	74.18786655
17	73.10156195
18	72.07324521
19	71.09595532
20	70.2003293
21	69.32792404
22	68.44414399
23	67.54870356
24	66.62263225
25	65.76005528
26	64.92160422
27	64.10429035
28	63.34340863
29	62.62309845
30	61.92251773
31	61.28276328
32	60.63703815
33	60.02581965
34	59.4369962
35	58.89846749
36	58.37138339
37	57.86844037
38	57.38249057
39	56.86189331
40	56.36480031
41	55.95856292
42	55.57645913
43	55.18507864
44	54.8403083
45	54.50571721
46	54.1728063
47	53.8085691
48	53.46453107
49	53.17901815
50	52.91100256
51	52.65972215
52	52.36603326
53	52.0697762
54	51.79179619
55	51.59016206
56	51.37081811
57	51.13594765
58	50.95478951
59	50.78125255
60	50.62825029
61	50.43546134
62	50.29076619
63	50.15075026
64	49.9711526
65	49.8085232
66	49.64829204
67	49.53411791
68	49.43766818
69	49.34648935
70	49.25008471
71	49.16990257
72	49.06153183
73	48.97169288
74	48.8855258
75	48.80533547
76	48.72979186
77	48.62292156
78	48.50463565
79	48.42940408
80	48.36534802
81	48.26769241
82	48.18423123
83	48.08801343
84	48.0024359
85	47.95050391
86	47.89212155
87	47.83519889
88	47.78454231
89	47.74240211
90	47.7036383
91	47.66464545
92	47.59254593
93	47.55157185
94	47.51442355
95	47.44993392
96	47.40730443
97	47.34252678
98	47.27934033
99	47.20996133
100	47.14971932
101	47.12468014
102	47.09725977
103	47.06014031
104	47.00227456
105	46.93938809
106	46.89416021
107	46.84355242
108	46.80081536
109	46.76532248
110	46.73783008
111	46.69242836
112	46.6451513
113	46.62251292
114	46.57377428
115	46.5515524
116	46.50423787
117	46.47989557
118	46.45189383
119	46.43473344
120	46.40183404
121	46.39150227
122	46.36457442
123	46.35257786
124	46.31018269
125	46.28469476
126	46.26933231
127	46.25269026
128	46.23661519
129	46.22083126
130	46.19360555
131	46.16530751
132	46.12656387
133	46.10523726
134	46.07202008
135	46.05164454
136	46.03279074
137	46.01127366
138	45.99675703
139	45.9850209
140	45.97585444
141	45.95928309
142	45.92144027
143	45.88084876
144	45.8705759
145	45.86058126
146	45.83094436
147	45.81052561
148	45.7984784
149	45.79283269
150	45.77228164
151	45.76070929
152	45.74583917
153	45.73605214
154	45.71713003
155	45.71030111
156	45.70163633
157	45.68474466
158	45.67915317
159	45.66945172
160	45.65843957
161	45.64600852
162	45.63779534
163	45.62006234
164	45.60967531
165	45.59054794
166	45.57061575
167	45.55013968
168	45.54062477
169	45.52132714
170	45.49734812
171	45.47395128
172	45.45471476
173	45.43951957
174	45.42013639
175	45.40615713
176	45.38701217
177	45.37920683
178	45.37017771
179	45.36341927
180	45.3540866
181	45.33931808
182	45.33088015
183	45.32930034
184	45.31028637
185	45.30156009
186	45.29147626
187	45.28454082
188	45.25916564
189	45.25154429
190	45.23174661
191	45.22080068
192	45.21086026
193	45.20418544
194	45.19716237
195	45.19292009
196	45.18587264
197	45.17823354
198	45.17433606
199	45.17168851
200	45.16229259
201	45.1545839
202	45.1476701
203	45.14019124
204	45.13246492
205	45.1079556
206	45.09997244
207	45.09341257
208	45.08789578
209	45.0591162
210	45.05004327
211	45.04103541
212	45.0310159
213	45.02461451
214	44.99852862
215	44.9898186
216	44.97840651
217	44.96896018
218	44.95944328
219	44.95299035
220	44.94654048
221	44.93224214
222	44.92539627
223	44.91372579
224	44.90653706
225	44.89473954
226	44.89229148
227	44.88360079
228	44.87772453
229	44.87116324
230	44.86474107
231	44.84268974
232	44.83603296
233	44.83000642
234	44.80849919
235	44.80135061
236	44.79876705
237	44.79089634
238	44.76823819
239	44.74513244
240	44.73854783
241	44.73088071
242	44.71919932
243	44.71221297
244	44.69762774
245	44.68951875
246	44.68906293
247	44.68286944
248	44.67070608
249	44.66315379
250	44.65115024
251	44.64530893
252	44.63332324
253	44.62951158
254	44.61245066
255	44.60586653
256	44.59892155
257	44.59294433
258	44.58660888
259	44.57580596
260	44.57286925
261	44.566864
262	44.55520727
263	44.54339977
264	44.53972672
265	44.53001455
266	44.52403412
267	44.51307433
268	44.49312736
269	44.47824522
270	44.47721872
271	44.47395902
272	44.46905181
273	44.46016591
274	44.44845039
275	44.44092575
276	44.43670965
277	44.42923896
278	44.42330761
279	44.41638112
280	44.41022749
281	44.39966474
282	44.39780649
283	44.38782803
284	44.38273476
285	44.37837192
286	44.37006219
287	44.36776091
288	44.36414528
289	44.35830619
290	44.35315264
291	44.33548709
292	44.32988145
293	44.30998435
294	44.30393792
295	44.2995879
296	44.29332973
297	44.28899012
298	44.28329987
299	44.26564413
300	44.25776906
301	44.25290487
302	44.24904309
303	44.24335087
304	44.24159245
305	44.23548698
306	44.22738375
307	44.22589743
308	44.21957218
309	44.21554863
310	44.20654523
311	44.19915856
312	44.19566293
313	44.194191
314	44.19048244
315	44.18463202
316	44.17329672
317	44.16737902
318	44.16534666
319	44.15763363
320	44.15616783
321	44.15243925
322	44.14093183
323	44.13683205
324	44.13416707
325	44.1314797
326	44.13001199
327	44.12983938
328	44.12470923
329	44.12102743
330	44.10798261
331	44.09775284
332	44.0913559
333	44.08772287
334	44.0841357
335	44.07803679
336	44.07334211
337	44.05458303
338	44.050527
339	44.04623061
340	44.04248755
341	44.02635488
342	44.0152556
343	44.00949824
344	44.00495946
345	43.99971665
346	43.99592842
347	43.98395599
348	43.9775152
349	43.9732143
350	43.96615778
351	43.96073802
352	43.9592228
353	43.9540325
354	43.95285673
355	43.9473851
356	43.93872326
357	43.93388477
358	43.92701112
359	43.92140659
360	43.92112971
361	43.91060557
362	43.9014915
363	43.89761894
364	43.8926096
365	43.88879295
366	43.88413627
367	43.87931477
368	43.87522867
369	43.86903369
370	43.86436889
371	43.85246999
372	43.85026091
373	43.84187167
374	43.83663613
375	43.82999308
376	43.82376715
377	43.81674171
378	43.81172995
379	43.80628079
380	43.79977069
381	43.79106382
382	43.77874414
383	43.77468867
384	43.77073443
385	43.766093
386	43.76301586
387	43.76033425
388	43.75707938
389	43.75289368
390	43.73652646
391	43.73120941
392	43.72832222
393	43.72546824
394	43.71075107
395	43.70736577
396	43.70137642
397	43.69923091
398	43.69634266
399	43.6933622
400	43.68900773
401	43.66979328
402	43.64951416
403	43.64226466
404	43.63609964
405	43.63389677
406	43.61640521
407	43.6124778
408	43.60672913
409	43.60409894
410	43.59738377
411	43.5927543
412	43.58843169
413	43.58506
414	43.5796079
415	43.57627105
416	43.5566024
417	43.55390063
418	43.54578862
419	43.54038239
420	43.52927358
421	43.52163745
422	43.51335742
423	43.51089123
424	43.50943637
425	43.50707755
426	43.5048157
427	43.50118123
428	43.49607588
429	43.49263016
430	43.48881452
431	43.48380124
432	43.46969762
433	43.45243472
434	43.45011584
435	43.44951597
436	43.44693401
437	43.44412715
438	43.44212662
439	43.4307608
440	43.42815264
441	43.41987452
442	43.41549295
443	43.40389446
444	43.399501
445	43.39693462
446	43.38860582
447	43.38637888
448	43.38346278
449	43.37986802
450	43.37546103
451	43.3675584
452	43.36235495
453	43.36022532
454	43.35480728
455	43.33766093
456	43.33096639
457	43.32786295
458	43.32599412
459	43.32232009
460	43.31732842
461	43.30885954
462	43.29990759
463	43.29089842
464	43.27810786
465	43.27585378
466	43.27488845
467	43.26879679
468	43.26789887
469	43.26054979
470	43.24942424
471	43.24226143
472	43.24008591
473	43.23760771
474	43.22954682
475	43.22075275
476	43.21525803
477	43.20759755
478	43.20077157
479	43.19702438
480	43.18823341
481	43.18738475
482	43.17413501
483	43.16710681
484	43.16189842
485	43.15019352
486	43.14938825
487	43.14489865
488	43.14267239
489	43.1387812
490	43.13518219
491	43.13287714
492	43.12467785
493	43.11711925
494	43.11150418
495	43.10638275
496	43.10261526
497	43.10057516
498	43.09948084
499	43.09205918
500	43.0856442
501	43.07958836
502	43.07261836
503	43.06813124
504	43.06156578
505	43.05732047
506	43.0513652
507	43.04607058
508	43.04306102
509	43.0370855
510	43.03364937
511	43.03103082
512	43.02849337
513	43.02591909
514	43.02167044
515	43.01969752
516	43.01894989
517	43.01390005
518	43.00286215
519	42.99881176
520	42.9884079
521	42.98223487
522	42.97760115
523	42.97303738
524	42.96760364
525	42.96591686
526	42.95854665
527	42.9571738
528	42.95107299
529	42.93672766
530	42.92705343
531	42.92360928
532	42.91713401
533	42.9143052
534	42.91141874
535	42.90549296
536	42.89476157
537	42.89286358
538	42.88960848
539	42.87940998
540	42.87755379
541	42.87340651
542	42.8707828
543	42.86459503
544	42.86151923
545	42.85945006
546	42.85424929
547	42.8456571
548	42.84468463
549	42.83877612
550	42.8363654
551	42.82452826
552	42.81170465
553	42.80664301
554	42.80480509
555	42.80008211
556	42.79006819
557	42.78104248
558	42.77539498
559	42.7682428
560	42.76478581
561	42.76325473
562	42.75941619
563	42.75077676
564	42.74846119
565	42.74307942
566	42.739626
567	42.73785071
568	42.73433087
569	42.7236296
570	42.72216729
571	42.72005671
572	42.71833415
573	42.71655235
574	42.70628846
575	42.70404601
576	42.70200727
577	42.6976515
578	42.6960936
579	42.69013984
580	42.68420763
581	42.68148474
582	42.67820113
583	42.67601444
584	42.67080608
585	42.66721826
586	42.66420864
587	42.66162373
588	42.65855075
589	42.65646403
590	42.65439301
591	42.65270736
592	42.64716818
593	42.63590022
594	42.63386002
595	42.62849971
596	42.62715913
597	42.61847651
598	42.60912939
599	42.60864947
600	42.60608508
601	42.60443135
602	42.60291022
603	42.59687974
604	42.59130758
605	42.58940187
606	42.58909976
607	42.58761068
608	42.58205939
609	42.58020086
610	42.57862586
611	42.576123
612	42.57297725
613	42.5694101
614	42.5655199
615	42.55992047
616	42.55849981
617	42.55291379
618	42.55250087
619	42.55012878
620	42.54863738
621	42.54639835
622	42.53829602
623	42.53582732
624	42.53216793
625	42.53071625
626	42.52891106
627	42.52632713
628	42.52461206
629	42.51969435
630	42.51828995
631	42.51610101
632	42.51206184
633	42.51038666
634	42.50649081
635	42.5030389
636	42.50103686
637	42.49754447
638	42.49614043
639	42.49377875
640	42.49215307
641	42.49100356
642	42.48942682
643	42.4823516
644	42.47658341
645	42.47283424
646	42.47070361
647	42.46471565
648	42.45908341
649	42.4571177
650	42.45585033
651	42.4537595
652	42.45342656
653	42.45137549
654	42.44624704
655	42.44464662
656	42.43780175
657	42.43627549
658	42.43163511
659	42.43045614
660	42.42220347
661	42.4204804
662	42.41712538
663	42.40674525
664	42.39103304
665	42.38131779
666	42.37400025
667	42.36999927
668	42.36784852
669	42.36385664
670	42.36220942
671	42.36021694
672	42.35873479
673	42.35337367
674	42.34926112
675	42.34765536
676	42.34084265
677	42.34024353
678	42.33831197
679	42.33468944
680	42.33363458
681	42.32915004
682	42.32811591
683	42.32325304
684	42.30797563
685	42.30251679
686	42.30062469
687	42.29920215
688	42.29599564
689	42.29374024
690	42.29211826
691	42.28258557
692	42.27684305
693	42.27027355
694	42.26909568
695	42.26268098
696	42.26130027
697	42.25825299
698	42.25639808
699	42.25457763
700	42.2540262
701	42.24932428
702	42.24764687
703	42.24339794
704	42.24211157
705	42.24086346
706	42.24059216
707	42.23528249
708	42.2295733
709	42.22836686
710	42.22738854
711	42.22456192
712	42.22052183
713	42.21941807
714	42.21762628
715	42.20847987
716	42.20717409
717	42.20532512
718	42.20160755
719	42.19869325
720	42.19675168
721	42.1955971
722	42.19186489
723	42.18734931
724	42.18290993
725	42.18265878
726	42.18178362
727	42.18052945
728	42.17501007
729	42.17218728
730	42.17088037
731	42.16966353
732	42.16831643
733	42.16653
734	42.16324855
735	42.15840552
736	42.15722576
737	42.15443465
738	42.14845642
739	42.14586378
740	42.14501822
741	42.14385379
742	42.14274031
743	42.13611568
744	42.13431676
745	42.13316917
746	42.1314116
747	42.12634423
748	42.12325636
749	42.11890245
750	42.11679416
751	42.11481151
752	42.11319792
753	42.10964511
754	42.10325091
755	42.10209282
756	42.10101304
757	42.09934315
758	42.09829534
759	42.09716413
760	42.09502227
761	42.09457991
762	42.09326182
763	42.09181968
764	42.09040749
765	42.08778154
766	42.08630749
767	42.0806246
768	42.07872732
769	42.07774188
770	42.07609941
771	42.07438307
772	42.07341356
773	42.07132922
774	42.06893626
775	42.06690977
776	42.06512502
777	42.06291696
778	42.05801154
779	42.05175487
780	42.05091327
781	42.05019964
782	42.04195474
783	42.03414915
784	42.03095831
785	42.02855101
786	42.02750703
787	42.02503026
788	42.02232059
789	42.01806807
790	42.01723606
791	42.01623927
792	42.01549686
793	42.01411605
794	42.01296614
795	42.01202095
796	42.00878133
797	42.00467256
798	42.0040577
799	42.00265268
800	42.00181185
801	41.99708766
802	41.99543785
803	41.99337841
804	41.99261539
805	41.98870607
806	41.98830162
807	41.98735991
808	41.98402944
809	41.98283299
810	41.97917311
811	41.97701291
812	41.97416228
813	41.97341453
814	41.96776199
815	41.9667508
816	41.96652058
817	41.96628602
818	41.96229092
819	41.96134621
820	41.96042615
821	41.95832724
822	41.95736151
823	41.95422491
824	41.95148021
825	41.94895123
826	41.94805638
827	41.94767334
828	41.9472995
829	41.94560319
830	41.94536675
831	41.94122512
832	41.94037151
833	41.93675869
834	41.93589764
835	41.93339799
836	41.93303805
837	41.92747091
838	41.92553189
839	41.92404045
840	41.92342115
841	41.92320822
842	41.9196528
843	41.91406512
844	41.91183162
845	41.90887425
846	41.9079668
847	41.90743169
848	41.90591152
849	41.90502055
850	41.90373128
851	41.9035267
852	41.90282972
853	41.90194892
854	41.90045634
855	41.89825524
856	41.89565272
857	41.8948731
858	41.89321138
859	41.88641422
860	41.88180106
861	41.8793845
862	41.87732046
863	41.87586183
864	41.86915171
865	41.86771851
866	41.86587347
867	41.86332524
868	41.85932971
869	41.85248354
870	41.84718034
871	41.84438884
872	41.84383128
873	41.84216737
874	41.83909407
875	41.83459454
876	41.83328978
877	41.83095679
878	41.82730275
879	41.82468144
880	41.82129432
881	41.81878539
882	41.81691259
883	41.815026
884	41.81182977
885	41.80875235
886	41.80364004
887	41.80189157
888	41.79663884
889	41.79490838
890	41.79280112
891	41.78970374
892	41.7853677
893	41.78101936
894	41.77870432
895	41.77619623
896	41.7736954
897	41.77108907
898	41.76486242
899	41.76322866
900	41.75928933
901	41.75599143
902	41.75046331
903	41.74637025
904	41.74442594
905	41.74144843
906	41.74047099
907	41.73909755
908	41.7372151
909	41.73432124
910	41.73080693
911	41.7261461
912	41.72110549
913	41.72052691
914	41.71628262
915	41.70239877
916	41.69880948
917	41.69653721
918	41.69041654
919	41.68771723
920	41.68580019
921	41.68559416
922	41.68447314
923	41.68042301
924	41.68019819
925	41.67856232
926	41.67552094
927	41.67443507
928	41.67425239
929	41.66898137
930	41.66742263
931	41.66640687
