iter	Passed	Remaining
0	36	72529
1	67	67419
2	98	65297
3	131	65538
4	162	64732
5	192	63964
6	235	66909
7	264	65927
8	296	65522
9	329	65645
10	358	64819
11	389	64458
12	418	64016
13	449	63701
14	482	63884
15	527	65395
16	559	65230
17	585	64423
18	615	64217
19	642	63636
20	668	63044
21	692	62242
22	725	62393
23	749	61742
24	777	61447
25	805	61141
26	829	60640
27	855	60250
28	882	60002
29	911	59876
30	940	59767
31	973	59841
32	1023	61026
33	1055	61054
34	1081	60712
35	1116	60892
36	1143	60670
37	1171	60465
38	1201	60408
39	1241	60847
40	1267	60548
41	1294	60358
42	1319	60075
43	1354	60217
44	1386	60247
45	1411	59967
46	1445	60057
47	1471	59852
48	1498	59659
49	1555	60660
50	1578	60327
51	1604	60090
52	1630	59909
53	1656	59681
54	1684	59558
55	1711	59398
56	1734	59112
57	1761	58980
58	1790	58904
59	1816	58733
60	1882	59843
61	1905	59573
62	1934	59468
63	1967	59530
64	1996	59437
65	2022	59262
66	2059	59427
67	2086	59275
68	2115	59198
69	2139	58992
70	2167	58876
71	2194	58767
72	2232	58918
73	2262	58889
74	2320	59548
75	2354	59607
76	2384	59538
77	2411	59417
78	2440	59353
79	2468	59250
80	2499	59216
81	2533	59258
82	2560	59127
83	2587	59020
84	2623	59096
85	2647	58921
86	2673	58796
87	2702	58715
88	2729	58616
89	2755	58469
90	2803	58812
91	2830	58712
92	2855	58562
93	2888	58573
94	2912	58404
95	2938	58273
96	2995	58768
97	3033	58872
98	3064	58842
99	3095	58818
100	3126	58782
101	3153	58686
102	3180	58577
103	3224	58778
104	3248	58632
105	3277	58553
106	3314	58637
107	3343	58570
108	3368	58436
109	3411	58608
110	3435	58471
111	3465	58413
112	3503	58510
113	3529	58387
114	3558	58336
115	3626	58898
116	3660	58920
117	3689	58848
118	3720	58803
119	3747	58703
120	3775	58631
121	3814	58713
122	3842	58639
123	3871	58572
124	3908	58633
125	3936	58542
126	3965	58490
127	4000	58500
128	4026	58405
129	4056	58347
130	4095	58432
131	4123	58352
132	4151	58282
133	4182	58248
134	4208	58140
135	4240	58125
136	4275	58145
137	4297	57979
138	4323	57878
139	4359	57914
140	4388	57856
141	4418	57808
142	4448	57767
143	4476	57700
144	4506	57648
145	4547	57751
146	4576	57689
147	4604	57622
148	4638	57628
149	4664	57528
150	4693	57466
151	4725	57449
152	4754	57397
153	4785	57360
154	4824	57423
155	4853	57374
156	4880	57287
157	4907	57214
158	4942	57226
159	4973	57200
160	5034	57510
161	5070	57526
162	5095	57422
163	5125	57381
164	5153	57309
165	5180	57235
166	5232	57432
167	5263	57401
168	5291	57331
169	5322	57300
170	5355	57278
171	5398	57374
172	5440	57459
173	5470	57403
174	5502	57385
175	5536	57373
176	5565	57317
177	5596	57289
178	5631	57294
179	5666	57296
180	5698	57269
181	5741	57351
182	5773	57320
183	5804	57289
184	5863	57527
185	5897	57516
186	5931	57508
187	5974	57585
188	6011	57600
189	6040	57542
190	6088	57666
191	6120	57639
192	6152	57602
193	6210	57815
194	6246	57815
195	6285	57854
196	6318	57832
197	6368	57961
198	6402	57946
199	6451	58059
200	6478	57980
201	6501	57872
202	6539	57886
203	6570	57844
204	6602	57814
205	6643	57859
206	6670	57779
207	6700	57725
208	6736	57724
209	6768	57689
210	6793	57603
211	6836	57655
212	6873	57665
213	6906	57638
214	6962	57807
215	6993	57760
216	7030	57764
217	7081	57888
218	7112	57842
219	7141	57781
220	7173	57745
221	7224	57863
222	7254	57806
223	7285	57766
224	7320	57750
225	7355	57735
226	7400	57798
227	7438	57814
228	7472	57788
229	7502	57740
230	7530	57668
231	7558	57598
232	7589	57554
233	7657	57792
234	7689	57753
235	7728	57768
236	7771	57807
237	7803	57772
238	7835	57736
239	7866	57688
240	7896	57633
241	7928	57594
242	7965	57592
243	7995	57544
244	8026	57493
245	8061	57481
246	8093	57440
247	8122	57379
248	8161	57396
249	8188	57320
250	8214	57242
251	8245	57192
252	8296	57290
253	8324	57223
254	8351	57152
255	8383	57111
256	8415	57075
257	8447	57035
258	8476	56979
259	8509	56945
260	8539	56898
261	8570	56854
262	8600	56803
263	8628	56735
264	8681	56842
265	8708	56770
266	8736	56708
267	8773	56697
268	8801	56638
269	8832	56596
270	8872	56604
271	8904	56570
272	8932	56509
273	8962	56460
274	8992	56407
275	9020	56342
276	9072	56432
277	9103	56391
278	9131	56324
279	9184	56417
280	9211	56353
281	9238	56283
282	9270	56245
283	9311	56263
284	9344	56232
285	9385	56249
286	9436	56325
287	9472	56306
288	9516	56340
289	9546	56289
290	9577	56246
291	9640	56393
292	9667	56323
293	9700	56290
294	9733	56255
295	9762	56199
296	9792	56149
297	9821	56095
298	9854	56064
299	9881	55993
300	9937	56094
301	9970	56061
302	10008	56052
303	10050	56070
304	10091	56082
305	10115	56001
306	10164	56051
307	10195	56006
308	10224	55952
309	10265	55961
310	10292	55898
311	10320	55837
312	10361	55847
313	10389	55784
314	10417	55727
315	10453	55705
316	10481	55649
317	10512	55601
318	10545	55571
319	10575	55522
320	10607	55483
321	10642	55457
322	10667	55383
323	10693	55317
324	10739	55348
325	10767	55292
326	10797	55244
327	10844	55280
328	10876	55242
329	10907	55198
330	10969	55312
331	11005	55294
332	11040	55271
333	11072	55228
334	11102	55179
335	11140	55170
336	11183	55185
337	11209	55120
338	11237	55061
339	11276	55053
340	11302	54989
341	11332	54937
342	11362	54891
343	11393	54847
344	11417	54769
345	11458	54776
346	11482	54699
347	11511	54648
348	11556	54668
349	11584	54614
350	11618	54583
351	11649	54539
352	11677	54482
353	11708	54440
354	11759	54488
355	11791	54453
356	11823	54413
357	11854	54373
358	11897	54386
359	11927	54337
360	11959	54296
361	11987	54241
362	12018	54198
363	12072	54260
364	12102	54210
365	12142	54209
366	12181	54203
367	12211	54154
368	12241	54108
369	12276	54081
370	12307	54041
371	12330	53964
372	12367	53947
373	12395	53891
374	12429	53860
375	12463	53831
376	12492	53782
377	12517	53713
378	12560	53720
379	12586	53659
380	12613	53598
381	12663	53636
382	12696	53604
383	12721	53536
384	12754	53503
385	12780	53438
386	12810	53392
387	12851	53392
388	12879	53339
389	12908	53287
390	12941	53254
391	12972	53212
392	13003	53174
393	13036	53139
394	13065	53090
395	13093	53036
396	13128	53010
397	13169	53007
398	13197	52954
399	13244	52979
400	13272	52924
401	13304	52885
402	13346	52889
403	13372	52827
404	13402	52781
405	13442	52776
406	13474	52741
407	13515	52737
408	13558	52741
409	13587	52692
410	13616	52645
411	13655	52631
412	13689	52602
413	13716	52547
414	13751	52520
415	13788	52502
416	13822	52472
417	13848	52413
418	13887	52401
419	13918	52360
420	13952	52328
421	13991	52317
422	14022	52277
423	14055	52243
424	14094	52232
425	14129	52207
426	14163	52174
427	14208	52184
428	14240	52147
429	14272	52112
430	14313	52105
431	14344	52066
432	14377	52032
433	14439	52101
434	14471	52062
435	14499	52011
436	14532	51977
437	14563	51936
438	14598	51909
439	14643	51918
440	14673	51873
441	14708	51846
442	14739	51804
443	14770	51764
444	14802	51725
445	14831	51678
446	14863	51638
447	14894	51599
448	14938	51602
449	14970	51566
450	15000	51520
451	15032	51484
452	15060	51431
453	15091	51389
454	15136	51397
455	15164	51346
456	15191	51291
457	15234	51292
458	15262	51240
459	15295	51207
460	15334	51192
461	15364	51148
462	15391	51095
463	15429	51077
464	15458	51030
465	15490	50991
466	15522	50956
467	15553	50913
468	15585	50877
469	15643	50925
470	15676	50889
471	15702	50834
472	15739	50811
473	15771	50775
474	15800	50727
475	15837	50707
476	15866	50659
477	15894	50608
478	15931	50589
479	15963	50550
